,start_station_name,value,wrapped_station_name
1587,W 21 St & 6 Ave,43011,W 21 St & 6 Ave
1718,West St & Chambers St,40747,West St &<br>Chambers St
495,Broadway & W 58 St,38210,Broadway & W 58<br>St
286,6 Ave & W 33 St,35391,6 Ave & W 33 St
8,1 Ave & E 68 St,34800,1 Ave & E 68 St
485,Broadway & W 25 St,32996,Broadway & W 25<br>St
461,Broadway & E 14 St,32749,Broadway & E 14<br>St
1511,University Pl & E 14 St,32358,University Pl &<br>E 14 St
463,Broadway & E 21 St,31703,Broadway & E 21<br>St
1603,W 31 St & 7 Ave,31490,W 31 St & 7 Ave
788,E 33 St & 1 Ave,30378,E 33 St & 1 Ave
590,Cleveland Pl & Spring St,30147,Cleveland Pl &<br>Spring St
29,12 Ave & W 40 St,30002,12 Ave & W 40<br>St
287,6 Ave & W 34 St,29892,6 Ave & W 34 St
1719,West St & Liberty St,29204,West St &<br>Liberty St
24,11 Ave & W 41 St,29137,11 Ave & W 41<br>St
562,Central Park S & 6 Ave,29126,Central Park S<br>& 6 Ave
1105,Lafayette St & E 8 St,29066,Lafayette St &<br>E 8 St
796,E 40 St & Park Ave,28388,E 40 St & Park<br>Ave
328,8 Ave & W 33 St,28275,8 Ave & W 33 St
